FlowID,Type,Src,Dst,FlowSize,FCT,Slowdown,Xput
4233,0,38,36,24,1597,1.00,100.00
5065,0,33,50,24,1597,1.00,100.00
737,0,25,24,5640,2299,1.00,100.00
5790,0,30,35,10448,2900,1.00,100.00
6064,0,28,35,24,1597,1.00,100.00
828,0,24,32,13408,3270,1.00,100.00
5734,0,12,19,24,1597,1.00,100.00
20,0,37,63,85856,13645,1.11,100.00
5552,0,5,47,4624,2172,1.00,100.00
214,0,54,12,24,1597,1.00,100.00
4149,0,31,47,24,1597,1.00,100.00
2576,0,41,4,24,1597,1.00,100.00
860,0,5,50,4624,2172,1.00,100.00
532,0,48,13,4624,2172,1.00,100.00
3553,0,35,45,4624,2172,1.00,100.00
2506,0,11,12,24,1597,1.00,100.00
2489,0,5,60,10536,2911,1.00,100.00
3740,0,18,59,4624,2172,1.00,100.00
1790,0,17,56,4624,2172,1.00,100.00
4612,0,6,11,24,1597,1.00,100.00
756,0,23,4,153464,22096,1.06,100.00
2957,0,35,10,4624,2172,1.00,100.00
3575,0,34,10,24,1597,1.00,100.00
1778,0,30,31,4624,2172,1.00,100.00
6116,0,55,16,4624,2172,1.00,100.00
813,0,37,40,9680,2804,1.00,100.00
1065,0,47,60,4624,2172,1.00,100.00
2632,0,40,17,5608,2295,1.00,100.00
4737,0,21,3,4624,2172,1.00,100.00
1354,0,44,38,9240,2749,1.00,100.00
763,0,10,49,24,1597,1.00,100.00
4589,0,1,16,13864,3327,1.00,100.00
3485,0,1,55,4624,4025,1.85,100.00
5775,0,9,62,4624,2172,1.00,100.00
1578,0,6,45,4624,2172,1.00,100.00
5914,0,32,12,4624,2172,1.00,100.00
5149,0,7,55,4624,2172,1.00,100.00
3214,0,8,1,9240,2749,1.00,100.00
2242,0,31,45,133984,19661,1.07,100.00
2303,0,27,6,4624,2172,1.00,100.00
406,0,8,62,19728,5379,1.33,100.00
3324,0,26,33,4624,2172,1.00,100.00
4975,0,6,29,4624,2172,1.00,100.00
4549,0,10,36,24,1597,1.00,100.00
4700,0,39,10,24,1597,1.00,100.00
1006,0,49,30,4624,2172,1.00,100.00
1092,0,30,49,4624,2172,1.00,100.00
2039,0,56,1,29944,6656,1.25,100.00
401,0,13,19,4624,2172,1.00,100.00
2112,0,6,54,4624,2172,1.00,100.00
796,0,63,6,24,1597,1.00,100.00
3204,0,27,50,24,1597,1.00,100.00
5644,0,8,5,8592,2668,1.00,100.00
3801,0,33,48,4624,2172,1.00,100.00
5480,0,4,58,24,1597,1.00,100.00
4862,0,21,63,10752,2938,1.00,100.00
5977,0,44,31,40040,7918,1.20,100.00
5366,0,57,19,24,1597,1.00,100.00
571,0,39,6,4624,2172,1.00,100.00
1395,0,31,53,24,1597,1.00,100.00
3739,0,48,61,24,1597,1.00,100.00
909,0,16,17,4624,2172,1.00,100.00
5756,0,52,0,24,1597,1.00,100.00
4911,0,31,49,4624,2172,1.00,100.00
5363,0,42,29,4624,2172,1.00,100.00
1485,0,61,26,17512,5102,1.35,100.00
2333,0,17,52,8296,2631,1.00,100.00
3930,0,46,35,4624,2172,1.00,100.00
1513,0,15,29,24,1597,1.00,100.00
3893,0,37,43,12224,3122,1.00,100.00
1056,0,34,63,24,1597,1.00,100.00
3165,0,53,10,11656,3051,1.00,100.00
2201,0,29,20,4624,2172,1.00,100.00
341,0,15,60,24,1597,1.00,100.00
268,0,60,28,4624,2172,1.00,100.00
161,0,60,1,24,1597,1.00,100.00
4010,0,30,7,4624,2172,1.00,100.00
5,0,10,41,21552,5607,1.31,100.00
1163,0,12,13,4624,2172,1.00,100.00
4308,0,31,52,4624,2172,1.00,100.00
2811,0,16,6,24,1597,1.00,100.00
143,0,8,16,4624,2172,1.00,100.00
2661,0,28,7,4624,2172,1.00,100.00
3839,0,12,28,4624,2172,1.00,100.00
4444,0,57,48,7048,2475,1.00,100.00
3021,0,38,3,4624,2172,1.00,100.00
333,0,9,57,4624,2172,1.00,100.00
2195,0,53,10,7544,2537,1.00,100.00
4873,0,37,43,4624,2172,1.00,100.00
4471,0,61,11,5472,2278,1.00,100.00
2888,0,10,13,24,1597,1.00,100.00
298,0,18,15,24,1597,1.00,100.00
5795,0,2,3,24,1597,1.00,100.00
4435,0,48,9,4624,2172,1.00,100.00
458,0,49,31,78544,12731,1.12,100.00
2254,0,60,2,5488,2280,1.00,100.00
1,0,29,10,4624,2172,1.00,100.00
3540,0,27,37,24,1597,1.00,100.00
4712,0,48,51,4624,2172,1.00,100.00
3425,0,54,10,24,1597,1.00,100.00
2711,0,41,63,4624,2172,1.00,100.00
5527,0,11,60,24,1597,1.00,100.00
3012,0,20,46,4624,2172,1.00,100.00
3597,0,30,43,96360,14958,1.10,100.00
3920,0,52,18,24,1597,1.00,100.00
1779,0,43,62,9240,2749,1.00,100.00
4513,0,7,53,4624,2172,1.00,100.00
3618,0,20,49,20600,5488,1.32,100.00
6005,0,50,23,4624,2172,1.00,100.00
6087,0,27,28,24,1597,1.00,100.00
5163,0,43,55,24,1597,1.00,100.00
1850,0,62,25,5960,2339,1.00,100.00
2198,0,0,51,14368,3390,1.00,100.00
4580,0,7,61,4624,2172,1.00,100.00
991,0,2,60,24,1597,1.00,100.00
3772,0,41,49,4624,2172,1.00,100.00
3529,0,25,14,24,1597,1.00,100.00
2050,0,51,0,5736,2311,1.00,100.00
1352,0,42,49,4624,2172,1.00,100.00
5150,0,57,28,4624,2172,1.00,100.00
1951,0,53,54,24,1597,1.00,100.00
2542,0,44,2,4624,2172,1.00,100.00
839,0,55,12,23248,5819,1.29,100.00
2167,0,60,57,6256,2376,1.00,100.00
2287,0,4,1,4880,2204,1.00,100.00
1034,0,30,42,4624,2172,1.00,100.00
3376,0,10,9,5144,2237,1.00,100.00
2164,0,61,19,6808,2445,1.00,100.00
990,0,38,54,24,1597,1.00,100.00
1671,0,37,11,24,1597,1.00,100.00
1783,0,36,27,4624,2172,1.00,100.00
4249,0,11,32,4624,2172,1.00,100.00
4470,0,59,35,4624,2172,1.00,100.00
4461,0,57,61,9240,2749,1.00,100.00
5868,0,9,5,4624,2172,1.00,100.00
2669,0,25,40,4624,2172,1.00,100.00
6078,0,2,3,24,1597,1.00,100.00
3729,0,55,7,8640,2674,1.00,100.00
337,0,29,26,4624,2172,1.00,100.00
118,0,38,27,24,1597,1.00,100.00
6059,0,41,63,24,1597,1.00,100.00
2390,0,55,20,69304,11576,1.13,100.00
5670,0,47,5,4624,2172,1.00,100.00
1540,0,34,27,24,1597,1.00,100.00
4582,0,29,17,69304,11576,1.13,100.00
1523,0,50,36,10312,2883,1.00,100.00
3958,0,57,60,57808,10139,1.15,100.00
